longitude	latitude	speed
-122.615622	45.523065	8.8
-122.6152	45.522977	7
-122.614687	45.522873	8.6
-122.614017	45.522877	10.6
-122.61325	45.522887	11.8
-122.612488	45.522885	11.8
-122.61175	45.522888	11.4
-122.611028	45.522888	11.2
-122.610443	45.522867	8.4
-122.610125	45.522852	4.2
-122.60951	45.522878	1.8
-122.608835	45.522875	10.4
-122.6083	45.522867	7.8
-122.607953	45.522845	4.8
-122.607693	45.522843	4.4
-122.60731	45.522843	6
-122.607103	45.522843	2.4
-122.606582	45.522843	1.88
-122.605888	45.522842	8.8
-122.60522	45.52284	10.4
-122.604767	45.522835	7.2
-122.60425	45.52286	1.95
-122.603608	45.522863	10
-122.603042	45.522852	8.8
-122.602643	45.522838	6.2
-122.601895	45.52284	2.28
-122.601227	45.522855	10.4
-122.600413	45.522857	12.4
-122.599568	45.522855	13.2
-122.598758	45.52285	12.6
-122.598027	45.522927	11.4
-122.597285	45.523063	12
-122.596498	45.523095	12.2
-122.595775	45.523082	11.2
-122.595423	45.523078	5.6
-122.595033	45.523105	1.5
-122.594453	45.523113	9
-122.594117	45.523115	5.4
-122.594058	45.523117	0.8
-122.593895	45.523117	0.48
-122.593365	45.523123	8.2
-122.592712	45.523135	10.2
-122.591983	45.523105	11.2
-122.591257	45.523097	11.2
-122.590488	45.523098	11.8
-122.589685	45.523095	12.6
-122.588905	45.523092	12
-122.588195	45.523082	11
-122.587557	45.522933	10.4
-122.58688	45.52283	10.8
-122.586092	45.522828	12.2
-122.585285	45.522817	12.6
-122.584445	45.522815	12.8
-122.58358	45.522803	13.4
-122.582848	45.52279	11.4
-122.582577	45.52278	4.4
-122.58149	45.52278	2.7666666666666666
-122.580812	45.522777	10.6
-122.580245	45.52277	8.8
-122.5798	45.522763	6.8
-122.579578	45.522758	3.6
-122.578962	45.52276	0.7833333333333333
-122.578417	45.522757	8.4
-122.577753	45.522748	10.2
-122.577128	45.522745	9.8
-122.576462	45.522742	10.4
-122.575717	45.522738	11.4
-122.57502	45.522733	10.8
-122.574317	45.52273	10.8
-122.573558	45.522738	11.8
-122.5728	45.522738	11.8
-122.572048	45.522732	11.6
-122.571305	45.522723	11.4
-122.570782	45.52271	8.2
-122.570615	45.522705	2.6
-122.569895	45.522705	2.24
-122.569027	45.522685	13.4
-122.568047	45.522682	15.2
-122.567012	45.522673	16
-122.565975	45.522672	16
-122.564962	45.522665	15.8
-122.564085	45.522643	13.4
-122.56333	45.522603	11.8
-122.562895	45.52259	6.6
-122.562238	45.522585	1.7
-122.561477	45.52258	11.8
-122.560695	45.522577	12.2
-122.559915	45.522567	12
-122.559267	45.522562	10
-122.558868	45.522558	6.2
-122.558743	45.522557	1.8
-122.55864	45.522557	1.6
-122.558417	45.522538	3.6
-122.558315	45.522438	2.6
-122.55833	45.522347	2
-122.55832	45.522135	0.96
-122.558332	45.521662	10.4
-122.55836	45.52108	12.8
-122.558388	45.520577	11
-122.558428	45.520335	5.2
-122.558338	45.519785	1.7142857142857142
-122.55833	45.519412	8.2
-122.558338	45.519317	1.8
-122.55834	45.519308	0.03333333333333333
-122.55835	45.519072	5.4
-122.558363	45.518668	8.8
-122.558358	45.51841	5.6
-122.55823	45.518302	3
-122.558185	45.518292	0.75
-122.558185	45.518292	0
-122.558077	45.518282	1.8
-122.557632	45.518278	7
-122.556985	45.518275	10
-122.556243	45.518268	11.6
-122.555493	45.518285	11.6
-122.554673	45.518312	12.6
-122.5539	45.518435	12.2
-122.553345	45.518572	9
-122.553103	45.518638	3.8
-122.552195	45.518912	3.9
-122.551335	45.518945	13.4
-122.550425	45.518943	14
-122.549482	45.518927	14.6
-122.54852	45.518917	15
-122.547538	45.51892	15
-122.546538	45.518927	15.6
-122.545533	45.51893	15.4
-122.544615	45.518935	14.2
-122.543965	45.518937	9.8
-122.543473	45.518932	7.6
-122.543163	45.518922	4.6
-122.54195	45.518947	2.742857142857143
-122.541265	45.51895	10.4
-122.540713	45.51895	8.4
-122.540233	45.518952	7.4
-122.539837	45.518953	6
-122.539612	45.518953	3.4
-122.539487	45.518957	2
-122.53908	45.518982	6.6
-122.5386	45.51899	7.2
-122.538202	45.518993	6.2
-122.537733	45.518993	7.2
-122.537393	45.518995	5
-122.536662	45.519002	2.36
-122.535867	45.51901	12.4
-122.535018	45.519015	13
-122.534178	45.519018	13
-122.533395	45.519	12.2
-122.53256	45.518993	13
-122.531713	45.518997	13
-122.530962	45.519003	11.4
-122.530467	45.519008	7.4
-122.53033	45.51901	1.8
-122.53032	45.51901	0.1
-122.53	45.519012	5.4
-122.529393	45.519018	9.4
-122.528677	45.519023	11.2
-122.527903	45.51903	12
-122.52713	45.519032	12
-122.526533	45.519023	8.8
-122.526355	45.519017	2.4
-122.525478	45.519037	3.6
-122.52467	45.519035	12.6
-122.523812	45.519035	13.2
-122.522938	45.519037	13.6
-122.52208	45.519038	13.2
-122.52128	45.519043	12.4
-122.520458	45.519045	12.8
-122.519512	45.519048	14.8
-122.51852	45.519052	15.2
-122.517598	45.519055	14.2
-122.51675	45.51906	13
-122.515897	45.519063	13.4
-122.515005	45.519068	13.8
-122.514127	45.51907	13.6
-122.513275	45.519073	13
-122.512425	45.519077	13.2
-122.51161	45.51908	12.4
-122.511117	45.519082	7.2
-122.510978	45.51908	1.8
-122.510973	45.519082	0
-122.510698	45.519077	4.6
-122.510433	45.519065	4.75
-122.50953	45.519083	3.5238095238095237
-122.508698	45.519087	16.25
-122.507845	45.519092	13.2
-122.506942	45.519098	14
-122.506023	45.519103	14.2
-122.505122	45.519102	14
-122.504238	45.5191	13.6
-122.503342	45.519098	13.8
-122.50246	45.519098	13.8
-122.501562	45.519098	13.8
-122.50069	45.519098	13.4
-122.499865	45.519095	12.6
-122.499378	45.519092	6.8
-122.499128	45.519088	4.2
-122.498828	45.519073	4.2
-122.497863	45.519092	2.6
-122.497317	45.519092	8
-122.497048	45.519092	3.8
-122.49701	45.519092	0.2
-122.49701	45.519092	0.3333333333333333
-122.496955	45.519092	1.6666666666666667
-122.496672	45.519092	6
-122.495915	45.519092	9.833333333333334
-122.495395	45.519082	7.6
-122.494595	45.519085	2.3214285714285716
-122.493797	45.519085	12.6
-122.492933	45.519087	13
-122.492333	45.519083	8.8
-122.492153	45.519082	2.2
-122.491287	45.519093	3.65
-122.490415	45.519093	13.6
-122.489493	45.519095	14.4
-122.488558	45.519095	14.4
-122.487588	45.519095	15
-122.486603	45.519098	15.2
-122.485687	45.519098	14
-122.484912	45.5191	12
-122.484035	45.5191	13.6
-122.4831	45.5191	14.6
-122.482148	45.519098	14.8
-122.48024	45.519103	14.7
-122.479348	45.519103	13.8
-122.478495	45.519105	13
-122.477872	45.519107	9
-122.477585	45.519108	3.8
-122.4774	45.519107	0.68
-122.476907	45.519098	7.8
-122.476518	45.519087	5.4
-122.475868	45.519095	2.2
-122.475077	45.519095	12.6
-122.474212	45.519093	13.2
-122.473357	45.519093	13.4
-122.47256	45.519092	11.8
-122.472123	45.51908	6
-122.471233	45.519087	2.1142857142857143
-122.47049	45.519083	11.2
-122.47013	45.519073	4.6
-122.469555	45.519077	1.1111111111111112
-122.46893	45.519078	9.4
-122.468465	45.519085	6.8
-122.468283	45.519087	2.2
-122.468273	45.519088	0
-122.468273	45.519088	0
-122.468273	45.519088	0
-122.46827	45.519087	1
-122.468015	45.51909	5
-122.467382	45.519088	10.2
-122.46662	45.519083	11.8
-122.465847	45.51908	11.8
-122.4653	45.519075	7.8
-122.46509	45.51907	2.4
-122.463808	45.519077	4.32
-122.46291	45.519077	14
-122.461988	45.519075	14.4
-122.461017	45.519075	15.2
-122.460027	45.519073	15.2
-122.459193	45.519072	12.2
-122.458432	45.519068	12.2
-122.457533	45.519068	14
-122.456648	45.519065	13.6
-122.455958	45.519063	9.8
-122.455632	45.519062	4.2
-122.455598	45.519063	0.5
-122.455598	45.519063	0
-122.455598	45.519063	0
-122.455377	45.519063	4.4
-122.454777	45.519063	9.8
-122.452935	45.51906	14.5
-122.45196	45.51906	15.2
-122.45101	45.519057	14.6
-122.449027	45.519052	15.4
-122.4481	45.51905	13.8
-122.447405	45.519047	10.2
-122.447058	45.519038	4.8
-122.446888	45.519033	2
-122.445753	45.519043	4.85
-122.444863	45.519042	14.2
-122.443888	45.51904	15
-122.442915	45.519037	15.2
-122.44192	45.519037	15.4
-122.440907	45.519033	15.8
-122.43991	45.519035	15.4
-122.43892	45.519032	15.2
-122.437933	45.519028	15.4
-122.436975	45.519028	14.6
-122.436052	45.519025	14.4
-122.435153	45.519025	13.6
-122.43446	45.519025	10
-122.43416	45.519023	3.4
-122.434113	45.519023	0.1
-122.433825	45.519023	4.2
-122.433172	45.519023	10
-122.432288	45.519023	13.6
-122.431283	45.519022	15.4
-122.430275	45.519018	15.8
-122.429237	45.519018	16
-122.428182	45.519018	16.4
-122.42726	45.519015	14.2
-122.42669	45.519005	9.2
-122.42655	45.519003	2.4
-122.426412	45.519007	0.5
-122.425873	45.519017	8.2
-122.4251	45.519017	11.8
-122.42418	45.519015	14.2
-122.423235	45.519015	14.6
-122.42235	45.519015	14
-122.421698	45.519007	10.2
-122.421422	45.518997	4.4
-122.421058	45.519003	0.675
-122.420403	45.519005	10.2
-122.419538	45.519003	13.2
-122.418602	45.519005	14.6
-122.417778	45.519002	12.8
-122.417328	45.518992	7
-122.416578	45.519003	2.32
-122.415755	45.519007	12.6
-122.414862	45.519005	13.8
-122.413995	45.519003	13.6
-122.413245	45.519002	11.6
-122.412818	45.519002	6.6
-122.41272	45.519002	0.12307692307692308
-122.412417	45.519002	4.6
-122.41197	45.518997	7
-122.411835	45.518993	2
-122.411222	45.519003	3.1333333333333333
-122.410413	45.519005	12.6
-122.409522	45.519005	13.8
-122.408658	45.519005	13.4
-122.408	45.518988	10.2
-122.40764	45.518953	5.6
-122.407023	45.518987	2.35
-122.40622	45.518987	12.6
-122.40521	45.518988	15.6
-122.404157	45.51899	16.2
-122.403122	45.518988	16
-122.402218	45.518985	14
-122.40161	45.518978	9.4
-122.4014	45.518977	3.2
-122.400292	45.51899	4.3
-122.399547	45.518988	11.4
-122.398923	45.518988	9.6
-122.398578	45.518967	5.4
-122.398465	45.518802	4.4
-122.398512	45.518557	5.2
-122.398498	45.517773	3.44
-122.398487	45.517162	13.6
-122.398487	45.516557	13.2
-122.398538	45.516117	9.6
-122.398567	45.515978	2.8
-122.39875	45.51504	4.16
-122.398987	45.514407	14.4
-122.399302	45.513782	14.6
-122.399642	45.513185	14.2
-122.399925	45.512588	13.8
-122.40006	45.511962	13.8
-122.400077	45.511417	12
-122.400068	45.510917	11
-122.400063	45.510427	10.6
-122.400065	45.509912	11.4
-122.400072	45.509342	12.6
-122.400073	45.508728	13.4
-122.400085	45.5082	11.4
-122.400108	45.507948	5.4
-122.40009	45.507552	2.25
-122.400083	45.507018	11.8
-122.40008	45.506363	14.4
-122.400088	45.505717	14
-122.400097	45.505203	11.2
-122.400097	45.504908	6.4
-122.400255	45.504787	3.8
-122.400815	45.504795	8.8
-122.40164	45.504807	12.8
-122.402592	45.504822	14.6
-122.403477	45.504843	13.4
-122.40404	45.504872	8.6
-122.4042	45.504878	2.2
-122.405447	45.504862	4.9
-122.406432	45.504865	15.4
-122.407503	45.504868	16.4
-122.408595	45.504872	17
-122.409657	45.504877	16.2
-122.410683	45.504882	16
-122.411643	45.504883	14.6
-122.412322	45.504887	10.4
-122.412697	45.504888	5.6
-122.413223	45.50489	8.2
-122.413825	45.504893	9.4
-122.414468	45.504893	9.8
-122.414948	45.504905	7.4
-122.415113	45.504912	2.2
-122.416138	45.504875	3.28
-122.416938	45.504862	12.4
-122.41773	45.504852	12.2
-122.418298	45.50486	8.4
-122.418995	45.504843	2.2
-122.419788	45.504828	12.4
-122.420648	45.504825	13.4
-122.421403	45.504903	11.4
-122.42165	45.504945	3.6
-122.422702	45.50502	4.2
-122.423625	45.505017	14.6
-122.424612	45.504975	15.2
-122.425437	45.504943	12.4
-122.425778	45.504932	5
-122.425787	45.50493	0
-122.425787	45.50493	0
-122.425787	45.50493	0
-122.425793	45.50493	0.5
-122.42605	45.504838	4.8
-122.426118	45.504433	9.2
-122.426183	45.503878	12.4
-122.4263	45.5034	10.4
-122.426305	45.503232	3.2
-122.426282	45.502913	1.4
-122.426263	45.502615	6.6
-122.426217	45.50238	5
-122.426363	45.502245	3.8
-122.426612	45.502252	3.6
-122.426762	45.502265	2
-122.80115	45.490975	3.4
-122.801303	45.490862	3.4
-122.801807	45.49047	0.95
-122.80188	45.49043	1.4
-122.802092	45.49049	3.4
-122.802215	45.490705	5.6
-122.802345	45.490973	7
-122.802518	45.491322	8.2
-122.8027	45.491732	9.6
-122.80284	45.492162	9.8
-122.802848	45.492588	9.4
-122.802843	45.492988	8.8
-122.80283	45.493223	5.2
-122.802873	45.493483	1.45
-122.802887	45.49361	2.8
-122.802918	45.493698	2.2
-122.80315	45.493792	4
-122.803667	45.493782	8
-122.804338	45.493765	10.4
-122.805045	45.493745	11
-122.805722	45.493747	10.2
-122.806318	45.49373	9.2
-122.806795	45.493615	7.8
-122.807003	45.493505	3.8
-122.807067	45.493467	0.4
-122.807308	45.493467	3.8
-122.807737	45.493655	7.8
-122.80838	45.49381	10.4
-122.808987	45.49395	9.8
-122.809445	45.494055	7.4
-122.80974	45.494123	4.8
-122.80992	45.494165	2.8
-122.809965	45.494182	0.2
-122.810058	45.494238	2.4
-122.809988	45.494465	4.6
-122.809743	45.494847	9.2
-122.809488	45.495278	10.2
-122.809218	45.495722	10.6
-122.808938	45.496195	11.2
-122.808658	45.496663	11
-122.808382	45.497125	11
-122.808095	45.497605	11.4
-122.807798	45.498095	11.6
-122.807548	45.498498	9.6
-122.807433	45.49869	4.6
-122.807282	45.498953	0.775
-122.807068	45.499315	8.6
-122.806818	45.499742	10.2
-122.806565	45.500175	10.2
-122.806305	45.500612	10.4
-122.806005	45.501078	11.4
-122.805677	45.501537	11.2
-122.805337	45.501948	10.4
-122.804832	45.502253	10.4
-122.804197	45.502482	11
-122.80349	45.50276	12.6
-122.802735	45.503068	13.4
-122.801965	45.503418	14.2
-122.801135	45.503762	15
-122.8003	45.504102	14.8
-122.79951	45.504422	14.2
-122.79875	45.504732	13.6
-122.79802	45.50506	13.4
-122.797348	45.505483	13.8
-122.796832	45.506002	14
-122.796527	45.506485	11.6
-122.796357	45.506907	9.6
-122.796203	45.50728	8.4
-122.796102	45.507493	4.8
-122.79586	45.508177	1.58
-122.795637	45.508732	12.8
-122.795405	45.509315	13.4
-122.795252	45.509928	13.8
-122.79524	45.510565	14
-122.795268	45.511215	14.2
-122.795278	45.511805	13
-122.795178	45.512212	8.8
-122.795105	45.512398	4.2
-122.795063	45.512467	0.13333333333333333
-122.79488	45.512728	6.8
-122.794592	45.51309	9
-122.794437	45.513283	4.6
-122.794378	45.513345	0.5333333333333333
-122.794172	45.513613	7
-122.793843	45.514038	10.8
-122.793462	45.514527	12.2
-122.793102	45.514998	11.8
-122.792885	45.515277	6.6
-122.792823	45.515348	1.6
-122.792793	45.515382	1
-122.792605	45.515602	6
-122.792343	45.515917	8
-122.79214	45.516153	6
-122.791768	45.516187	5.8
-122.791203	45.516027	12.25
-122.790548	45.515787	11.4
-122.790102	45.515565	8.2
-122.78962	45.515262	8.5
-122.78914	45.514837	12
-122.788732	45.514302	16.75
-122.788342	45.513718	14.2
-122.787745	45.51318	15
-122.786973	45.512787	14.6
-122.786142	45.51258	13.6
-122.785307	45.512517	13
-122.784503	45.512492	12.4
-122.783718	45.512472	12.2
-122.782887	45.512447	12.8
-122.782008	45.512423	13.8
-122.781097	45.512395	14
-122.780173	45.51229	14.6
-122.77934	45.512042	13.8
-122.778668	45.511698	12.8
-122.778228	45.511348	10
-122.778128	45.511018	6.166666666666667
-122.778218	45.510875	3.2
-122.778625	45.510775	6.8
-122.779053	45.510668	7.2
-122.779427	45.510523	6.4
-122.779767	45.510342	6.6
-122.780083	45.510158	6.2
-122.780413	45.510005	6
-122.780777	45.5099	6.2
-122.781152	45.509882	5.6
-122.781485	45.509955	5.2
-122.781647	45.510025	2.6
-122.78227	45.51023	1.2222222222222223
-122.782657	45.510392	7.2
-122.783143	45.510568	8.6
-122.783662	45.510765	9
