longitude	latitude	speed
-122.675573	45.52711	6.2
-122.675573	45.526822	6.2
-122.675565	45.526752	1.2
-122.675565	45.526752	0
-122.675565	45.526752	0.5
-122.67556	45.526733	2
-122.675567	45.52645	6.4
-122.675572	45.525963	10.8
-122.675548	45.525468	10.8
-122.675543	45.525035	9.4
-122.675538	45.524757	6
-122.675513	45.52465	1.2
-122.675478	45.52393	8
-122.67547	45.523617	6.8
-122.675455	45.523443	3.6
-122.675443	45.523405	0.8
-122.67542	45.5232	4.4
-122.675412	45.522902	6.8
-122.675518	45.522625	6
-122.675613	45.522455	3.8
-122.67566	45.522392	1.6
-122.675662	45.522388	0
-122.675662	45.522388	0
-122.675662	45.522388	0
-122.675675	45.522363	1.5
-122.675805	45.522115	6
-122.675927	45.52186	5.8
-122.676042	45.521655	5
-122.676192	45.521383	6.4
-122.676275	45.521152	5.2
-122.676365	45.520938	5.2
-122.676563	45.520592	8.2
-122.676693	45.520317	6
-122.67672	45.520262	1.2
-122.676827	45.520015	6
-122.676952	45.519737	6.4
-122.677118	45.519453	6.8
-122.677293	45.51913	7.6
-122.677478	45.51887	6.2
-122.677687	45.518532	8.2
-122.677887	45.518162	8.6
-122.678097	45.51779	8.8
-122.678202	45.517585	4.4
-122.678285	45.517472	3
-122.678473	45.517168	7.4
-122.678582	45.51696	4.6
-122.678785	45.516488	0.7857142857142857
-122.678875	45.516333	3.8
-122.679045	45.516045	7
-122.67923	45.515663	9
-122.679477	45.51528	9.2
-122.67962	45.515037	5.4
-122.67971	45.514995	1.2
-122.679827	45.514807	5
-122.680078	45.51447	8.2
-122.68017	45.51431	3.4
-122.680555	45.5135	4.85
-122.680765	45.51311	9.2
-122.680965	45.51272	9.2
-122.681152	45.51237	8
-122.681308	45.512062	7.4
-122.681478	45.511737	7.4
-122.681538	45.511607	2.6
-122.681612	45.511477	1.1333333333333333
-122.681798	45.511122	8.6
-122.682018	45.510722	9.6
-122.682225	45.51037	8
-122.682272	45.510277	1.8
-122.682332	45.510102	2.2
-122.682482	45.509753	8
-122.682625	45.509452	7
-122.682763	45.509147	7
-122.682917	45.508842	7.2
-122.68303	45.508492	8
-122.683038	45.508168	6.8
-122.68296	45.508002	3.8
-122.682592	45.507957	5.8
-122.682225	45.507968	5.4
-122.682153	45.507972	0.8
-122.682142	45.507973	0.1
-122.681798	45.507933	6
-122.681178	45.507855	10
-122.680538	45.50781	9.6
-122.680193	45.507807	4.8
-122.679908	45.50782	4.8
-122.679358	45.507865	8.6
-122.679005	45.507888	5
-122.678953	45.50789	0.6
-122.678953	45.50789	0
-122.678943	45.50789	1
-122.678597	45.50792	6
-122.67804	45.507927	8.4
-122.67774	45.507928	4.4
-122.677337	45.507958	6.8
-122.676647	45.507955	10.8
-122.675977	45.507792	11
-122.675575	45.507377	11.2
-122.675423	45.50686	11.6
-122.67521	45.506335	12.2
-122.67491	45.50581	12.4
-122.674475	45.505372	11.6
-122.674112	45.50495	10.8
-122.673862	45.504542	9.8
-122.673617	45.504115	10
-122.673407	45.503695	9.8
-122.673223	45.503317	8.6
-122.67306	45.502985	7.6
-122.672878	45.502677	7.4
-122.67254	45.502447	7
-122.672107	45.502447	6
-122.672005	45.502482	1.8
-122.671728	45.502573	5.4
-122.671327	45.502705	6.8
-122.671013	45.502803	5.2
-122.670652	45.502913	6.6
-122.670045	45.503048	10
-122.669517	45.503308	10
-122.66903	45.503618	10.4
-122.668478	45.503982	11.8
-122.667942	45.50434	11.2
-122.667433	45.50467	10.8
-122.666907	45.50501	11
-122.666388	45.505348	11
-122.665913	45.505658	10
-122.66543	45.505977	10.2
-122.664957	45.506283	9.8
-122.664583	45.506488	7
-122.664057	45.50656	8.4
-122.663655	45.506557	5.8
-122.663523	45.506555	1.6
-122.663522	45.506555	0
-122.663522	45.506555	0
-122.663522	45.506555	0
-122.663437	45.506553	3
-122.662978	45.506547	7.6
-122.662517	45.506537	6.8
-122.662355	45.506532	2
-122.662168	45.50653	0.72
-122.661565	45.50653	9.8
-122.660782	45.506507	12.2
-122.660002	45.506365	12.4
-122.65931	45.506085	12.4
-122.658828	45.505805	9
-122.658743	45.505445	8.4
-122.658792	45.505052	8.2
-122.6588	45.504973	1.4
-122.658605	45.504832	5
-122.65819	45.504815	5.8
-122.65811	45.504818	0.8
-122.658057	45.504825	0.4
-122.657678	45.504998	6.6
-122.657615	45.50509	1.4
-122.657517	45.50521	0.2235294117647059
-122.657168	45.505333	6.4
-122.65671	45.505148	8.2
-122.656253	45.504897	8.8
-122.655907	45.504832	5.2
-122.655752	45.504827	1.8
-122.655723	45.504827	0.15
-122.655433	45.504828	5
-122.654967	45.504827	7.4
-122.654375	45.504815	9.4
-122.653802	45.50481	8.4
-122.653487	45.504807	4.2
-122.652267	45.504827	2.5
-122.651522	45.504828	11.8
-122.650715	45.504823	12.4
-122.649903	45.504822	12.6
-122.649115	45.504823	12
-122.64833	45.504822	12.2
-122.647568	45.50482	11.8
-122.646845	45.504823	11
-122.64618	45.504817	10.2
-122.64556	45.50482	9.4
-122.644963	45.504818	9.4
-122.6443	45.504817	10.2
-122.64368	45.504817	9.6
-122.643043	45.504817	9.8
-122.642357	45.504815	10.8
-122.641615	45.504812	11.6
-122.640917	45.504812	10.6
-122.640262	45.504815	10
-122.639642	45.504818	9.6
-122.638998	45.504818	10
-122.63847	45.504812	8
-122.63732	45.504812	9
-122.636658	45.504813	10.4
-122.635973	45.504813	10.6
-122.635382	45.504812	7.2
-122.634855	45.504807	9.6
-122.634353	45.50481	8
-122.633788	45.50481	8.8
-122.633277	45.50481	7.6
-122.6329	45.50481	5.6
-122.632438	45.504812	7.8
-122.63186	45.504812	7
-122.631342	45.50481	8.2
-122.630912	45.504812	6.8
-122.630732	45.504812	3.6
-122.630302	45.50481	5.6
-122.629767	45.504802	8.4
