longitude	latitude	speed
-122.779083	45.463097	9.6
-122.77888	45.463478	8.4
-122.778743	45.463742	5.6
-122.778675	45.463873	2.8
-122.77866	45.463905	0.6
-122.778648	45.463927	0.02857142857142857
-122.7786	45.46402	2.2
-122.778478	45.464252	6.6
-122.778328	45.464533	5.2
-122.77817	45.464823	6.8
-122.777995	45.465142	7.4
-122.777803	45.465485	9.8
-122.777625	45.4658	5.8
-122.777453	45.4661	7
-122.777283	45.466403	7.2
-122.777125	45.466703	7
-122.776997	45.466958	6
-122.776937	45.467073	2.6
-122.776912	45.46711	0.26666666666666666
-122.776833	45.467267	3.8
-122.776735	45.467462	4.6
-122.776603	45.467727	6
-122.776495	45.467935	4.8
-122.776195	45.468533	3.55
-122.776048	45.468858	7.4
-122.775982	45.46899	2.8
-122.775937	45.469072	2.2
-122.775837	45.469237	3.4
-122.775545	45.469822	3.6
-122.775357	45.470175	8
-122.775302	45.470275	1.8
-122.775302	45.470275	0
-122.775302	45.470275	0
-122.7753	45.470278	1
-122.775233	45.4704	3.2
-122.77511	45.470627	5.4
-122.775002	45.470827	4.6
-122.774847	45.471102	6.8
-122.774612	45.471403	7.4
-122.774282	45.471672	3.7
-122.774255	45.47169	0.03333333333333333
-122.77405	45.47183	5.4
-122.773613	45.472112	9.6
-122.773202	45.472362	7.4
-122.77213	45.47258	3.76
-122.77154	45.472483	8.6
-122.77044	45.472482	4
-122.769565	45.472607	13.6
-122.768592	45.472772	15.6
-122.767627	45.472913	15.2
-122.766787	45.47321	17.6
-122.766048	45.473652	12.2
-122.765413	45.474147	14.6
-122.764862	45.4747	14.8
-122.764335	45.475298	15.4
-122.76388	45.475925	15.4
-122.763622	45.476587	15
-122.763555	45.477262	15
-122.763572	45.477893	13.8
-122.76352	45.47849	13.2
-122.763183	45.478985	12
-122.762748	45.479457	12.2
-122.762287	45.47983	10.8
-122.762037	45.479987	5.2
-122.761743	45.480137	5.4
-122.761297	45.480343	8.2
-122.760942	45.480495	6.4
-122.7603	45.480828	3.1
-122.75969	45.48113	11.6
-122.759027	45.481462	12.6
-122.758323	45.48181	13.4
-122.75759	45.482165	13.6
-122.756248	45.482778	12.4
-122.75576	45.48299	8.8
-122.755017	45.483343	2.8
-122.754355	45.483662	12.6
-122.753622	45.483985	13.4
-122.752845	45.484338	14.2
-122.752135	45.48467	13
-122.75149	45.48496	12
-122.75088	45.485235	11.2
-122.750333	45.485495	10
-122.749952	45.485672	6.8
-122.749762	45.48576	3.4
-122.749687	45.485797	1.2
-122.749465	45.485903	0.32
-122.749082	45.486058	6.8
-122.748823	45.48609	3.4
-122.748602	45.48613	0.7
-122.748112	45.486253	8.4
-122.747332	45.486452	13.2
-122.746407	45.48668	15.4
-122.745375	45.486897	16.8
-122.744253	45.487017	17.4
-122.743122	45.487035	17.6
-122.74202	45.487028	17.2
-122.741068	45.487018	13.8
-122.740602	45.486993	6
-122.739857	45.487	3.2
-122.739075	45.486997	12.6
-122.738245	45.486988	12
-122.73786	45.486965	4.4
-122.73718	45.486982	2.08
-122.736712	45.487002	7.2
-122.736193	45.487002	8
-122.735517	45.487005	10.4
-122.734725	45.486978	12.2
-122.7338	45.486972	14.4
-122.733058	45.486968	11.6
-122.73247	45.486962	9
-122.732205	45.486953	4
-122.732047	45.486963	0.52
-122.731943	45.486968	1.6
-122.731902	45.48697	0.075
-122.731543	45.486973	5.8
-122.73091	45.48697	9.8
-122.730092	45.486972	12.8
-122.729112	45.48698	15.2
-122.728055	45.486932	16.4
-122.727008	45.486632	17.6
-122.726017	45.486183	18.4
-122.72492	45.485915	18
-122.723838	45.485802	16.8
-122.722797	45.485703	16.2
-122.722158	45.485628	9.4
-122.721337	45.485567	3.35
-122.720368	45.485477	12.833333333333334
-122.719648	45.485387	14
-122.718742	45.485192	15
-122.717742	45.484892	13.666666666666666
-122.717422	45.484763	4.6
-122.716913	45.484592	2.8823529411764706
-122.716317	45.48433	11.2
-122.715575	45.483995	13.8
-122.714942	45.48371	14.5
-122.714135	45.48336	14.6
-122.713208	45.482953	14
-122.712442	45.482615	14
-122.711575	45.482237	16
-122.710842	45.481942	16.25
-122.708785	45.481672	14.545454545454545
-122.708175	45.481612	9.2
-122.707922	45.481558	3
-122.707432	45.48145	0.5492957746478874
-122.706905	45.481257	9
-122.706155	45.48094	11.333333333333334
-122.705408	45.480663	13
-122.70479	45.480468	13
-122.703822	45.480238	13.166666666666666
-122.70307	45.480093	15.25
-122.7019	45.479865	15.833333333333334
-122.701087	45.479462	15.4
-122.70039	45.478962	15.6
-122.699427	45.478495	15.333333333333334
-122.69856	45.47823	14.4
-122.697887	45.478103	10.8
-122.697543	45.478073	5.2
-122.697465	45.478067	1.2
-122.697465	45.478067	0
-122.697462	45.478067	0
-122.697252	45.478052	4.5
-122.696658	45.478055	7.666666666666667
-122.696343	45.478107	4.8
-122.696245	45.47813	0.6
-122.695798	45.478215	7.4
-122.695175	45.478332	10
-122.694453	45.478463	11.6
-122.693893	45.478565	8.8
-122.693652	45.478617	3.6
-122.693607	45.478628	0.2
-122.693208	45.47873	6.8
-122.692862	45.478822	5.6
-122.692707	45.478895	0.75
-122.692242	45.4791	9
-122.691482	45.479393	13.6
-122.690597	45.47973	15.6
-122.689668	45.48008	16.4
-122.68866	45.480235	16
-122.687725	45.480143	14
-122.687322	45.480098	5.8
-122.686965	45.480152	1.0333333333333334
-122.686197	45.480312	13
-122.685227	45.48029	15.2
-122.684262	45.480068	15.6
