longitude	latitude	speed
-122.746623	45.515842	12
-122.745893	45.5159	11.4
-122.745138	45.516112	12.6
-122.744395	45.516407	13.2
-122.743683	45.516735	13.2
-122.743058	45.517135	13.2
-122.74246	45.517558	13.2
-122.741847	45.517972	13
-122.741152	45.518323	13.4
-122.740363	45.51861	13.8
-122.739542	45.518865	14
-122.738738	45.519102	13.4
-122.737958	45.519352	13.2
-122.737162	45.51956	13.2
-122.736308	45.5196	13.2
-122.735517	45.519475	12.6
-122.734765	45.519312	12.2
-122.734028	45.519152	12
-122.733267	45.518988	12.4
-122.732468	45.518818	12.8
-122.731642	45.51867	13.4
-122.730788	45.518665	13.2
-122.729962	45.51882	13.4
-122.729055	45.519205	13.666666666666666
-122.72834	45.519555	13.6
-122.727503	45.519743	13.6
-122.726613	45.519732	13.8
-122.725782	45.519543	13.6
-122.725055	45.519275	12.6
-122.724258	45.518978	11.666666666666666
-122.723495	45.518883	12.2
-122.722707	45.519035	12.6
-122.72204	45.519448	13.4
-122.721523	45.519935	13.2
-122.720997	45.520422	13.4
-122.719873	45.521397	13.8
-122.71912	45.521655	13.4
-122.718027	45.52158	14
-122.717163	45.521628	13.6
-122.71645	45.521987	13.4
-122.71565	45.522437	13.166666666666666
-122.714838	45.522598	13.4
-122.713957	45.522638	13.8
-122.713225	45.52267	14
-122.712317	45.522752	11.666666666666666
-122.71153	45.522907	12.8
-122.710693	45.523153	14
-122.709087	45.523625	13.2
-122.708255	45.523822	13.4
-122.707392	45.523917	13.4
-122.705623	45.524088	13.6
-122.70477	45.524122	13.2
-122.703945	45.524152	12.8
-122.703143	45.524178	12.4
-122.702345	45.524158	12.4
-122.70165	45.524	11.4
-122.701012	45.523865	10.2
-122.700417	45.52376	9.4
-122.699798	45.523678	9.6
-122.699252	45.523607	8.2
-122.698893	45.52356	5
-122.698747	45.523538	1.8
-122.69874	45.523537	0.03333333333333333
-122.698483	45.5235	4.4
-122.698043	45.523443	6.8
-122.697537	45.5234	7.8
-122.697198	45.523387	4.6
-122.696485	45.523362	2.24
-122.696013	45.523342	7.4
-122.695518	45.52332	7.6
-122.695023	45.523297	7.6
-122.694638	45.523275	5.4
-122.693923	45.523235	2.28
-122.693412	45.523208	8
-122.692905	45.523182	7.6
-122.692712	45.523168	2.2
-122.692358	45.523137	0.2818181818181818
-122.691895	45.52311	5.142857142857143
-122.691382	45.523085	8
-122.690915	45.523058	6.8
-122.690635	45.523043	3.8
-122.690493	45.523033	0.4
-122.690147	45.523015	5.6
-122.68986	45.522988	3.8
-122.68941	45.522975	1.95
-122.6889	45.522952	7.8
-122.688377	45.522925	8.2
-122.6879	45.522902	6.8
-122.687817	45.522887	0.12
-122.687588	45.522878	4.2
-122.687177	45.522855	6.4
-122.686878	45.522857	4
-122.686692	45.522868	0.8
-122.686315	45.52288	6
-122.685855	45.522885	7
-122.685382	45.522887	7.2
-122.684905	45.522893	7.4
-122.684502	45.522902	5.6
-122.684393	45.522905	1.2
-122.68385	45.522918	1.5666666666666667
-122.683383	45.522928	7.2
-122.682932	45.522938	7
-122.682463	45.522948	7.2
-122.681992	45.52296	7.2
-122.681538	45.52296	6.6
-122.681395	45.522955	1.6
-122.68095	45.522967	1.0857142857142856
-122.680512	45.522978	7
-122.679995	45.522988	8
-122.679508	45.522997	7.4
-122.679047	45.522997	7.2
-122.67852	45.52299	8.2
-122.677987	45.522993	7.8
-122.677803	45.523008	2
-122.677763	45.52301	0.13333333333333333
-122.677455	45.523007	5.4
-122.677007	45.522988	7
-122.676742	45.522982	3.2
-122.676178	45.523015	0.5466666666666666
-122.675725	45.523035	7
-122.675283	45.523033	8.2
-122.674885	45.52303	4.8
-122.67447	45.523037	6.4
-122.67398	45.523063	9.2
-122.67344	45.523067	6.6
-122.672902	45.52306	8.2
-122.672622	45.523057	4.6
-122.671735	45.523072	1.2407407407407407
-122.671052	45.52307	10.4
-122.67028	45.523058	12
-122.66949	45.52304	12
-122.668687	45.523023	12.6
-122.66787	45.523005	12.4
-122.667008	45.522988	13.4
-122.666133	45.52297	13.4
-122.665293	45.522953	13
-122.6645	45.522938	12.4
-122.663728	45.52292	11.8
-122.662952	45.522903	12
-122.662227	45.5229	11.4
-122.66168	45.522912	8.4
-122.661087	45.52292	9.2
-122.66048	45.522917	9.2
